Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"No, have never worked",Economically Inactive - Other,65 to 69,12090.0,3.9,25.5,2.6,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,65 to 69,16850.0,1.0,35.6,3.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,65 to 69,18435.0,10.5,38.9,3.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,70 to 74,255.0,0.1,5.4,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,70 to 74,2390.0,0.1,50.9,0.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,70 to 74,2045.0,2.9,43.6,0.3,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,70 to 74,820.0,0.2,24.3,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,70 to 74,2385.0,0.1,70.7,0.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,70 to 74,170.0,0.2,5.0,0.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,70 to 74,7390.0,1.9,25.2,1.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,70 to 74,20130.0,0.9,68.5,1.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,70 to 74,1855.0,2.6,6.3,0.6,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,70 to 74,18080.0,4.6,42.8,2.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,70 to 74,23655.0,1.1,56.0,2.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,70 to 74,475.0,0.7,1.1,0.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,70 to 74,362000.0,91.2,14.0,25.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,70 to 74,2171305.0,97.4,83.8,25.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,70 to 74,58985.0,83.9,2.3,14.5,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,70 to 74,8260.0,2.1,34.8,1.8,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,70 to 74,8695.0,0.4,36.6,1.7,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,70 to 74,6790.0,9.7,28.6,1.2,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,75 and over,305.0,0.0,13.0,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,75 and over,1300.0,0.0,55.6,0.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,75 and over,735.0,1.6,31.4,0.1,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,75 and over,1700.0,0.2,27.5,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,75 and over,4325.0,0.1,70.1,0.9,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,75 and over,145.0,0.3,2.3,0.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,75 and over,9720.0,1.2,21.3,1.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,75 and over,34870.0,0.8,76.2,2.6,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,75 and over,1145.0,2.5,2.5,0.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,75 and over,40120.0,5.0,34.9,5.3,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,75 and over,74385.0,1.8,64.6,6.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,75 and over,560.0,1.3,0.5,0.8,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,75 and over,735000.0,91.1,15.4,51.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,75 and over,3984925.0,96.8,83.7,46.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,75 and over,38595.0,86.0,0.8,9.5,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,19920.0,2.5,47.0,4.2,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,18765.0,0.5,44.3,3.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,3700.0,8.2,8.7,0.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,298920.0,8.2,8.7,95.0,England,Unemployed,5.9,18.7,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,569695.0,8.2,8.7,95.1,England,Unemployed,4.8,35.7,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,727670.0,8.2,8.7,95.6,England,Unemployed,28.1,45.6,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1554490.0,8.2,8.7,95.2,England,Economically Inactive - Student,30.9,59.9,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,442320.0,8.2,8.7,93.7,England,Economically Inactive - Student,3.7,17.0,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,598645.0,8.2,8.7,94.2,England,Economically Inactive - Student,23.1,23.1,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,652870.0,8.2,8.7,96.0,England,Economically Inactive - Looking After Family/Home,13.0,29.6,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1259445.0,8.2,8.7,94.8,England,Economically Inactive - Looking After Family/Home,10.5,57.0,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,295425.0,8.2,8.7,95.6,England,Economically Inactive - Looking After Family/Home,11.4,13.4,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,706985.0,8.2,8.7,93.0,England,Economically Inactive - Long-term Sick or Disabled,14.1,37.7,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1103865.0,8.2,8.7,92.2,England,Economically Inactive - Long-term Sick or Disabled,9.2,58.9,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,63450.0,8.2,8.7,93.2,England,Economically Inactive - Long-term Sick or Disabled,2.4,3.4,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1362090.0,8.2,8.7,94.6,England,Economically Inactive - Retired,27.1,13.8,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,8136905.0,8.2,8.7,93.9,England,Economically Inactive - Retired,67.9,82.3,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,383055.0,8.2,8.7,94.3,England,Economically Inactive - Retired,14.8,3.9,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,449425.0,8.2,8.7,95.3,England,Economically Inactive - Other,8.9,31.1,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,471760.0,8.2,8.7,94.6,England,Economically Inactive - Other,3.9,32.6,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,524720.0,8.2,8.7,95.4,England,Economically Inactive - Other,20.2,36.3,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,15605.0,8.2,8.7,5.0,Wales,Unemployed,5.7,19.8,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,29405.0,8.2,8.7,4.9,Wales,Unemployed,3.8,37.3,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,33885.0,8.2,8.7,4.4,Wales,Unemployed,24.8,42.9,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,79005.0,8.2,8.7,4.8,Wales,Economically Inactive - Student,28.7,54.4,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,29490.0,8.2,8.7,6.3,Wales,Economically Inactive - Student,3.8,20.3,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,36685.0,8.2,8.7,5.8,Wales,Economically Inactive - Student,26.8,25.3,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,27225.0,8.2,8.7,4.0,Wales,Economically Inactive - Looking After Family/Home,9.9,24.8,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,68940.0,8.2,8.7,5.2,Wales,Economically Inactive - Looking After Family/Home,8.8,62.9,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,13440.0,8.2,8.7,4.4,Wales,Economically Inactive - Looking After Family/Home,9.8,12.3,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,53070.0,8.2,8.7,7.0,Wales,Economically Inactive - Long-term Sick or Disabled,19.3,35.1,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,93655.0,8.2,8.7,7.8,Wales,Economically Inactive - Long-term Sick or Disabled,12.0,61.9,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4595.0,8.2,8.7,6.8,Wales,Economically Inactive - Long-term Sick or Disabled,3.4,3.0,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,78120.0,8.2,8.7,5.4,Wales,Economically Inactive - Retired,28.4,12.4,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,530500.0,8.2,8.7,6.1,Wales,Economically Inactive - Retired,68.1,84.0,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,23035.0,8.2,8.7,5.7,Wales,Economically Inactive - Retired,16.8,3.6,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,22155.0,8.2,8.7,4.7,Wales,Economically Inactive - Other,8.1,29.8,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,27000.0,8.2,8.7,5.4,Wales,Economically Inactive - Other,3.5,36.3,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,25150.0,8.2,8.7,4.6,Wales,Economically Inactive - Other,18.4,33.8,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,8600.0,8.2,8.7,2.7,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,6.1,29.5,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,9745.0,8.2,8.7,1.6,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,15.9,33.4,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,10810.0,8.2,8.7,1.4,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,35.2,37.1,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,43425.0,8.2,8.7,2.7,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,30.9,75.6,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6480.0,8.2,8.7,1.4,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,10.6,11.3,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,7505.0,8.2,8.7,1.2,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,24.4,13.1,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,50545.0,8.2,8.7,7.4,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,36.0,64.1,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,22915.0,8.2,8.7,1.7,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,37.4,29.0,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,5430.0,8.2,8.7,1.8,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,17.7,6.9,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,11495.0,8.2,8.7,1.5,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,8.2,60.9,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6825.0,8.2,8.7,0.6,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,11.1,36.2,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,545.0,8.2,8.7,0.8,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,1.8,2.9,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,11320.0,8.2,8.7,0.8,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,8.1,56.9,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,8235.0,8.2,8.7,0.1,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,13.4,41.4,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,350.0,8.2,8.7,0.1,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,1.1,1.8,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,15090.0,8.2,8.7,3.2,Wales,Economically Inactive - Other,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,10.7,53.3,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,7135.0,8.2,8.7,1.4,Wales,Economically Inactive - Other,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,11.6,25.2,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,6090.0,8.2,8.7,1.1,Wales,Economically Inactive - Other,18.4,33.8,Asian/Asian Welsh/Asian British: Bangladeshi,19.8,21.5,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,2540.0,8.2,8.7,0.8,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,2.9,19.0,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,4655.0,8.2,8.7,0.8,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,7.1,34.9,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,6145.0,8.2,8.7,0.8,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,21.1,46.1,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,58760.0,8.2,8.7,3.6,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,67.3,71.8,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,11635.0,8.2,8.7,2.5,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,17.7,14.2,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,11410.0,8.2,8.7,1.8,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,39.2,13.9,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,9045.0,8.2,8.7,1.3,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,10.4,32.2,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,14190.0,8.2,8.7,1.1,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,21.6,50.5,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4880.0,8.2,8.7,1.6,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,16.8,17.4,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1695.0,8.2,8.7,0.2,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,1.9,45.7,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1860.0,8.2,8.7,0.2,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,2.8,50.1,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,155.0,8.2,8.7,0.2,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,0.5,4.2,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,10760.0,8.2,8.7,0.7,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,12.3,25.8,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,29040.0,8.2,8.7,0.3,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,44.1,69.8,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,1830.0,8.2,8.7,0.5,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,6.3,4.4,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,4520.0,8.2,8.7,1.0,Wales,Economically Inactive - Other,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,5.2,33.1,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,4425.0,8.2,8.7,0.9,Wales,Economically Inactive - Other,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,6.7,32.4,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4700.0,8.2,8.7,0.9,Wales,Economically Inactive - Other,18.4,33.8,Asian/Asian Welsh/Asian British: Chinese,16.1,34.4,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,15220.0,8.2,8.7,4.8,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,6.9,23.5,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,20700.0,8.2,8.7,3.5,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,9.2,31.9,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,28930.0,8.2,8.7,3.8,Wales,Unemployed,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,32.1,44.6,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,77725.0,8.2,8.7,4.8,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,35.2,66.6,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,16180.0,8.2,8.7,3.4,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,7.2,13.9,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,22870.0,8.2,8.7,3.6,Wales,Economically Inactive - Student,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,25.4,19.6,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,45450.0,8.2,8.7,6.7,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,20.6,46.1,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,40710.0,8.2,8.7,3.1,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,18.0,41.3,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,12375.0,8.2,8.7,4.0,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,13.7,12.6,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,15705.0,8.2,8.7,2.1,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,7.1,45.7,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,17410.0,8.2,8.7,1.5,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,7.7,50.7,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,1215.0,8.2,8.7,1.8,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,1.3,3.5,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,46885.0,8.2,8.7,3.3,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,21.2,27.5,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,117020.0,8.2,8.7,1.4,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,51.9,68.5,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,6840.0,8.2,8.7,1.7,Wales,Economically Inactive - Retired,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,7.6,4.0,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,19725.0,8.2,8.7,4.2,Wales,Economically Inactive - Other,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,8.9,38.4,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,13665.0,8.2,8.7,2.7,Wales,Economically Inactive - Other,18.4,33.8,Asian/Asian Welsh/Asian British: Indian,6.1,26.6,,,,,,,,,,,,,,
